Act_Num,Status,PUP_Name,PUP_Address,PUP_City,PUP_State,PUP_Zip,Symbol
V512G2,A,WESBANCO DELPHOS,230 EAST SECOND ST ,DELPHOS,OH,45833-1701,230_EAST_SECOND_ST_
V512G4,A,WESBANCO ELIDA,105 SOUTH GREENLAWN AVE ,ELIDA,OH,45807-1017,105_SOUTH_GREENLAWN_AVE_
V512G5,A,WESBANCO LIMA ALLENTOWN,2600 ALLENTOWN RD ,LIMA,OH,45805-1716,2600_ALLENTOWN_RD_
V512G6,A,WESBANCO LIMA SHAWNEE,2565 SHAWNEE RD ,LIMA,OH,45806-1409,2565_SHAWNEE_RD_
V512G7,A,WESBANCO UPPER SANDUSKY,118 S SANDUSKY AVE ,UPPER SANDUSKY,OH,43351-1424,118_S_SANDUSKY_AVE_
V512G8,A,WESBANCO ARLINGTON,112 E LIBERTY STREET ,ARLINGTON,OH,45814-9629,112_E_LIBERTY_STREET_
V512G9,A,WESBANCO CAREY,128 S VANCE STREET ,CAREY,OH,43316-1128,128_S_VANCE_STREET_
V512H0,A,WESBANCO DEFIANCE MAIN,601 CLINTON ST ,DEFIANCE,OH,43512-2636,601_CLINTON_ST_
V512H3,A,WESBANCO WAUSEON,211 SOUTH FULTON ST ,WAUSEON,OH,43567-1377,211_SOUTH_FULTON_ST_
V512H5,A,WESBANCO NAPOLEON MAIN,625 SCOTT ST ,NAPOLEON,OH,43545-1709,625_SCOTT_ST_
V512H6,A,WESBANCO NAPOLEON NORTH,1800 NORTH SCOTT ST ,NAPOLEON,OH,43545-1097,1800_NORTH_SCOTT_ST_
V512J0,A,WESBANCO DEFIANCE NORTH,1177 NORTH CLINCTON ST ,DEFIANCE,OH,43512-8627,1177_NORTH_CLINCTON_ST_
V512J1,A,WESBANCO PAULDING,905 NORTH WILLIAM ST ,PAULDING,OH,45879-1073,905_NORTH_WILLIAM_ST_
V512J3,A,WESBANCO BRYAN MAIN,204 EAST HIGH ST ,BRYAN,OH,43506-1745,204_EAST_HIGH_ST_
V512J5,A,WESBANCO MONTPELIER,1050 EAST MAIN ST ,MONTPELIER,OH,43543-1265,1050_EAST_MAIN_ST_
V512J6,A,WESBANCO HICKSVILLE,201 EAST HIGH ST ,HICKSVILLE,OH,43526-1108,201_EAST_HIGH_ST_
V512J8,A,WESBANCO FORT WAYNE DUPONT,1595 W DUPONT RD ,FT WAYNE,IN,46825-1002,1595_W_DUPONT_RD_
V512J9,A,WESBANCOFORT WAYNE DOWNTOWN,203 EAST BERRY ST ,FT WAYNE,IN,46825-2724,203_EAST_BERRY_ST_
V512K0,A,WESBANCO BELLEVUE OH,211 N SANDUSKY ST ,BELLEVUE,OH,44811-1427,211_N_SANDUSKY_ST_
V512K1,A,WESBANCO WILLARD,301 MYRTLE AVE ,WILLARD,OH,44890-1514,301_MYRTLE_AVE_
V512K2,A,WESBANCO NORWALK,50 W MAIN ST ,NORWALK,OH,44857-1441,50_W_MAIN_ST_
V512K3,A,WESBANCO SANDUSKY,4112 MILAN RD ,SANDUSKY,OH,44870-5832,4112_MILAN_RD_
V512K5,A,WESBANCO MAUMEE,417 WEST DUSSEL DR ,MAUMEE,OH,43537-1667,417_WEST_DUSSEL_DR_
V512K6,A,WESBANCO GENOA,22020 WEST STATE ROUTE 51 ,GENOA,OH,43430-1254,22020_WEST_STATE_ROUTE_51_
V512K7,A,WESBANCO OREGON,3426 NAVARRE AVE ,OREGON,OH,43616-3428,3426_NAVARRE_AVE_
V512K8,A,WESBANCO PERRYSBURG,1077 LOUISIANA AVE ,PERRYSBURG,OH,43551-2342,1077_LOUISIANA_AVE_
V512K9,A,WESBANCO TOLEDO CHERRY STREET,1077 CHERRY STREET ,TOLEDO,OH,43608-2901,1077_CHERRY_STREET_
V514K1,A,WESBANCO FORT WAYNE ILLINOIS,9909 ILLINOIS RD ,FT WAYNE,IN,46804-5769,9909_ILLINOIS_RD_
V514K5,A,WESBANCO SYLVANIA MONROE ST,5520 MONROE ST ,SYLVANIA,OH,43560-2538,5520_MONROE_ST_
V72503,A,WESBANCO - Washington Rd.,728 WASHINGTON RD ,PITTSBURGH,PA,15228-2021,728_WASHINGTON_RD_
V83904,A,WESBANCO - New Albany,5690 N HAMILTON RD ,COLUMBUS,OH,43230-1324,5690_N_HAMILTON_RD_
V842A0,A,WESBANCO - Southpointe,2000 HORIZON VUE DR ,CANONSBURG,PA,15317-7548,2000_HORIZON_VUE_DR_
V84E24,A,WESBANCO - Yellow Springs,50 KAHOE LN ,YELLOW SPRINGS,OH,45387-1237,50_KAHOE_LN_
V90141,A,WESBANCO - Enon,7601 DAYTON SPRINGFIELD RD ,FAIRBORN,OH,45324-1903,7601_DAYTON_SPRINGFIELD_RD_
V9F097,A,WESBANCO - Cranberry,1339 FREEDOM RD ,CRANBERRY TOWNSHIP,PA,16066-5003,1339_FREEDOM_RD_
V9F187,A,WESBANCO - Portsmouth,924 GALLIA ST ,PORTSMOUTH,OH,45662-4139,924_GALLIA_ST_
V9X154,A,WESBANCO - Beavercreek,1243 N FAIRFIELD RD ,Beavercreek,OH,45432-2633,1243_N_FAIRFIELD_RD_
V9X589,A,WESBANCO - Centerville,6291 WILMINGTON PIKE ,DAYTON,OH,45459-7108,6291_WILMINGTON_PIKE_
V9X931,A,WESBANCO - Ironmakers,975 E MAIN ST ,JACKSON,OH,45640-2138,975_E_MAIN_ST_
V9Y159,A,WESBANCO - Shadyside OH,3868 CENTRAL AVE ,SHADYSIDE,OH,43947-1308,3868_CENTRAL_AVE_
V9Y511,A,WESBANCO - Cambridge,850 WHEELING AVE ,CAMBRIDGE,OH,43725-2317,850_WHEELING_AVE_
W091R0,A,WESBANCO-BRECKENRIDGE,415 MARKET STREET ,PARKERSBURG,WV,26104-5338,415_MARKET_STREET_
W106Y4,A,WESBANCO - Gahanna,116 S STYGLER ROAD ,GAHANNA,OH,43230-2440,116_S_STYGLER_ROAD_
W106Y8,A,WESBANCO - Reynoldsburg,1880 STATE ROUTE 256 ,REYNOLDSBURG,OH,43068-3111,1880_STATE_ROUTE_256_
W108E9,A,WESBANCO - Kingwood,203 MORGANTOWN ST ,KINGWOOD,WV,26537-1021,203_MORGANTOWN_ST_
W108F9,A,WESBANCO - Barnesville,230 E MAIN ST ,BARNESVILLE,OH,43713-1006,230_E_MAIN_ST_
