Act_Num,Status,PUP_Name,PUP_Address,PUP_City,PUP_State,PUP_Zip,Symbol,Name
V512C2,A,WESBANCO HOWLAND,4625 N RIVER RD ,WARREN,OH,44484-1052,4625_N_RIVER_RD,4625 N RIVER RD  (V512C2)
V512C3,A,WESBANCO SALEM,650 EAST STATE ST ,SALEM,OH,44460-2935,650_EAST_STATE_ST,650 EAST STATE ST  (V512C3)
V512C4,A,WESBANCO LISBON,210 W LINCOLN WAY ,LISBON,OH,44432-1104,210_W_LINCOLN_WAY,210 W LINCOLN WAY  (V512C4)
V512C6,A,WESBANCO COLUMBIANA,14825 SOUTH AVENUE EXT ,COLUMBIANA,OH,44408,14825_SOUTH_AVENUE_EXT,14825 SOUTH AVENUE EXT  (V512C6)
V512C7,A,WESBANCO MARION JAMESWAY,279 JAMESWAWY DRIVE ,MARION,OH,43302,279_JAMESWAWY_DRIVE,279 JAMESWAWY DRIVE  (V512C7)
V512D1,A,WESBANCO FINDLAY NORTH,3900 NORTH MAIN ST ,FINDLAY,OH,45840-4217,3900_NORTH_MAIN_ST,3900 NORTH MAIN ST  (V512D1)
V512D2,A,WESBANCO FOSTORIA,1694 NORTH COUNTY LINE ST ,FOSTORIA,OH,44830-1938,1694_NORTH_COUNTY_LINE_ST,1694 NORTH COUNTY LINE ST  (V512D2)
V512D4,A,WESBANCO FINDLAY DOWNTOWN,301 SOUTH MAIN ST ,FINDLAY,OH,45840-3351,301_SOUTH_MAIN_ST,301 SOUTH MAIN ST  (V512D4)
V512D5,A,WESBANCO OTTAWA,405 EAST MAIN ST ,OTTAWA,OH,45875-1947,405_EAST_MAIN_ST,405 EAST MAIN ST  (V512D5)
V512D6,A,WESBANCO MCCOMB,124 EAST MAIN ST ,MCCOMB,OH,45858-8407,124_EAST_MAIN_ST,124 EAST MAIN ST  (V512D6)
V512D8,A,WESBANCO FINDLAY EAST,7591 PATRIOT DR ,FINDLAY,OH,45840-7823,7591_PATRIOT_DR,7591 PATRIOT DR  (V512D8)
V512G2,A,WESBANCO DELPHOS,230 EAST SECOND ST ,DELPHOS,OH,45833-1701,230_EAST_SECOND_ST,230 EAST SECOND ST  (V512G2)
V512G4,A,WESBANCO ELIDA,105 SOUTH GREENLAWN AVE ,ELIDA,OH,45807-1017,105_SOUTH_GREENLAWN_AVE,105 SOUTH GREENLAWN AVE  (V512G4)
V512G5,A,WESBANCO LIMA ALLENTOWN,2600 ALLENTOWN RD ,LIMA,OH,45805-1716,2600_ALLENTOWN_RD,2600 ALLENTOWN RD  (V512G5)
V512G6,A,WESBANCO LIMA SHAWNEE,2565 SHAWNEE RD ,LIMA,OH,45806-1409,2565_SHAWNEE_RD,2565 SHAWNEE RD  (V512G6)
V512G7,A,WESBANCO UPPER SANDUSKY,118 S SANDUSKY AVE ,UPPER SANDUSKY,OH,43351-1424,118_S_SANDUSKY_AVE,118 S SANDUSKY AVE  (V512G7)
V512G8,A,WESBANCO ARLINGTON,112 E LIBERTY STREET ,ARLINGTON,OH,45814-9629,112_E_LIBERTY_STREET,112 E LIBERTY STREET  (V512G8)
V512G9,A,WESBANCO CAREY,128 S VANCE STREET ,CAREY,OH,43316-1128,128_S_VANCE_STREET,128 S VANCE STREET  (V512G9)
V512H0,A,WESBANCO DEFIANCE MAIN,601 CLINTON ST ,DEFIANCE,OH,43512-2636,601_CLINTON_ST,601 CLINTON ST  (V512H0)
V512H3,A,WESBANCO WAUSEON,211 SOUTH FULTON ST ,WAUSEON,OH,43567-1377,211_SOUTH_FULTON_ST,211 SOUTH FULTON ST  (V512H3)
V512H5,A,WESBANCO NAPOLEON MAIN,625 SCOTT ST ,NAPOLEON,OH,43545-1709,625_SCOTT_ST,625 SCOTT ST  (V512H5)
V512H6,A,WESBANCO NAPOLEON NORTH,1800 NORTH SCOTT ST ,NAPOLEON,OH,43545-1097,1800_NORTH_SCOTT_ST,1800 NORTH SCOTT ST  (V512H6)
V512J0,A,WESBANCO DEFIANCE NORTH,1177 NORTH CLINCTON ST ,DEFIANCE,OH,43512-8627,1177_NORTH_CLINCTON_ST,1177 NORTH CLINCTON ST  (V512J0)
V512J1,A,WESBANCO PAULDING,905 NORTH WILLIAM ST ,PAULDING,OH,45879-1073,905_NORTH_WILLIAM_ST,905 NORTH WILLIAM ST  (V512J1)
V512J3,A,WESBANCO BRYAN MAIN,204 EAST HIGH ST ,BRYAN,OH,43506-1745,204_EAST_HIGH_ST,204 EAST HIGH ST  (V512J3)
V512J5,A,WESBANCO MONTPELIER,1050 EAST MAIN ST ,MONTPELIER,OH,43543-1265,1050_EAST_MAIN_ST,1050 EAST MAIN ST  (V512J5)
V512J6,A,WESBANCO HICKSVILLE,201 EAST HIGH ST ,HICKSVILLE,OH,43526-1108,201_EAST_HIGH_ST,201 EAST HIGH ST  (V512J6)
V512J8,A,WESBANCO FORT WAYNE DUPONT,1595 W DUPONT RD ,FT WAYNE,IN,46825-1002,1595_W_DUPONT_RD,1595 W DUPONT RD  (V512J8)
V512J9,A,WESBANCOFORT WAYNE DOWNTOWN,203 EAST BERRY ST ,FT WAYNE,IN,46825-2724,203_EAST_BERRY_ST,203 EAST BERRY ST  (V512J9)
V512K0,A,WESBANCO BELLEVUE OH,211 N SANDUSKY ST ,BELLEVUE,OH,44811-1427,211_N_SANDUSKY_ST,211 N SANDUSKY ST  (V512K0)
V512K1,A,WESBANCO WILLARD,301 MYRTLE AVE ,WILLARD,OH,44890-1514,301_MYRTLE_AVE,301 MYRTLE AVE  (V512K1)
V512K2,A,WESBANCO NORWALK,50 W MAIN ST ,NORWALK,OH,44857-1441,50_W_MAIN_ST,50 W MAIN ST  (V512K2)
V512K3,A,WESBANCO SANDUSKY,4112 MILAN RD ,SANDUSKY,OH,44870-5832,4112_MILAN_RD,4112 MILAN RD  (V512K3)
V512K5,A,WESBANCO MAUMEE,417 WEST DUSSEL DR ,MAUMEE,OH,43537-1667,417_WEST_DUSSEL_DR,417 WEST DUSSEL DR  (V512K5)
V512K6,A,WESBANCO GENOA,22020 WEST STATE ROUTE 51 ,GENOA,OH,43430-1254,22020_WEST_STATE_ROUTE_51,22020 WEST STATE ROUTE 51  (V512K6)
V512K7,A,WESBANCO OREGON,3426 NAVARRE AVE ,OREGON,OH,43616-3428,3426_NAVARRE_AVE,3426 NAVARRE AVE  (V512K7)
V512K8,A,WESBANCO PERRYSBURG,1077 LOUISIANA AVE ,PERRYSBURG,OH,43551-2342,1077_LOUISIANA_AVE,1077 LOUISIANA AVE  (V512K8)
V512K9,A,WESBANCO TOLEDO CHERRY STREET,1077 CHERRY STREET ,TOLEDO,OH,43608-2901,1077_CHERRY_STREET,1077 CHERRY STREET  (V512K9)
V514K1,A,WESBANCO FORT WAYNE ILLINOIS,9909 ILLINOIS RD ,FT WAYNE,IN,46804-5769,9909_ILLINOIS_RD,9909 ILLINOIS RD  (V514K1)
V514K5,A,WESBANCO SYLVANIA MONROE ST,5520 MONROE ST ,SYLVANIA,OH,43560-2538,5520_MONROE_ST,5520 MONROE ST  (V514K5)
V72503,A,WESBANCO - Washington Rd.,728 WASHINGTON RD ,PITTSBURGH,PA,15228-2021,728_WASHINGTON_RD,728 WASHINGTON RD  (V72503)
V83904,A,WESBANCO - New Albany,5690 N HAMILTON RD ,COLUMBUS,OH,43230-1324,5690_N_HAMILTON_RD,5690 N HAMILTON RD  (V83904)
V842A0,A,WESBANCO - Southpointe,2000 HORIZON VUE DR ,CANONSBURG,PA,15317-7548,2000_HORIZON_VUE_DR,2000 HORIZON VUE DR  (V842A0)
V84E24,A,WESBANCO - Yellow Springs,50 KAHOE LN ,YELLOW SPRINGS,OH,45387-1237,50_KAHOE_LN,50 KAHOE LN  (V84E24)
V90141,A,WESBANCO - Enon,7601 DAYTON SPRINGFIELD RD ,FAIRBORN,OH,45324-1903,7601_DAYTON_SPRINGFIELD_RD,7601 DAYTON SPRINGFIELD RD  (V90141)
V9F097,A,WESBANCO - Cranberry,1339 FREEDOM RD ,CRANBERRY TOWNSHIP,PA,16066-5003,1339_FREEDOM_RD,1339 FREEDOM RD  (V9F097)
V9F187,A,WESBANCO - Portsmouth,924 GALLIA ST ,PORTSMOUTH,OH,45662-4139,924_GALLIA_ST,924 GALLIA ST  (V9F187)
V9X154,A,WESBANCO - Beavercreek,1243 N FAIRFIELD RD ,Beavercreek,OH,45432-2633,1243_N_FAIRFIELD_RD,1243 N FAIRFIELD RD  (V9X154)
V9X589,A,WESBANCO - Centerville,6291 WILMINGTON PIKE ,DAYTON,OH,45459-7108,6291_WILMINGTON_PIKE,6291 WILMINGTON PIKE  (V9X589)
V9X931,A,WESBANCO - Ironmakers,975 E MAIN ST ,JACKSON,OH,45640-2138,975_E_MAIN_ST,975 E MAIN ST  (V9X931)
V9Y159,A,WESBANCO - Shadyside OH,3868 CENTRAL AVE ,SHADYSIDE,OH,43947-1308,3868_CENTRAL_AVE,3868 CENTRAL AVE  (V9Y159)
V9Y511,A,WESBANCO - Cambridge,850 WHEELING AVE ,CAMBRIDGE,OH,43725-2317,850_WHEELING_AVE,850 WHEELING AVE  (V9Y511)
W091R0,A,WESBANCO-BRECKENRIDGE,415 MARKET STREET ,PARKERSBURG,WV,26104-5338,415_MARKET_STREET,415 MARKET STREET  (W091R0)
W106Y4,A,WESBANCO - Gahanna,116 S STYGLER ROAD ,GAHANNA,OH,43230-2440,116_S_STYGLER_ROAD,116 S STYGLER ROAD  (W106Y4)
W106Y8,A,WESBANCO - Reynoldsburg,1880 STATE ROUTE 256 ,REYNOLDSBURG,OH,43068-3111,1880_STATE_ROUTE_256,1880 STATE ROUTE 256  (W106Y8)
W108E9,A,WESBANCO - Kingwood,203 MORGANTOWN ST ,KINGWOOD,WV,26537-1021,203_MORGANTOWN_ST,203 MORGANTOWN ST  (W108E9)
W108F9,A,WESBANCO - Barnesville,230 E MAIN ST ,BARNESVILLE,OH,43713-1006,230_E_MAIN_ST,230 E MAIN ST  (W108F9)
W1Y239,A,WESBANCO - Upper Valley,1480 UPPER VALLEY PIKE ,SPRINGFIELD,OH,45504-4033,1480_UPPER_VALLEY_PIKE,1480 UPPER VALLEY PIKE  (W1Y239)
W1Y271,A,WESBANCO - Monfort Heights,5511 CHEVIOT RD ,CINCINNATI,OH,45247-7003,5511_CHEVIOT_RD,5511 CHEVIOT RD  (W1Y271)
W1Y294,A,WESBANCO - Harrison,10575 HARRISON AVE ,HARRISON,OH,45030-1943,10575_HARRISON_AVE,10575 HARRISON AVE  (W1Y294)
W287X3,A,WESBANCO - Circleville,1210 N COURT ST ,CIRCLEVILLE,OH,43113-1000,1210_N_COURT_ST,1210 N COURT ST  (W287X3)
W29E25,A,WESBANCO - Johnson Ave.,1130 JOHNSON AVE ,BRIDGEPORT,WV,26330-1352,1130_JOHNSON_AVE,1130 JOHNSON AVE  (W29E25)
W930H8,A,PNC - WESBANCO,500 1ST AVE ,PITTSBURGH,PA,15219-3128,500_1ST_AVE,500 1ST AVE  (W930H8)
X378X7,A,WESBANCO  Akron LPO,1559 CORPORATE WOODS PKWY STE 350 ,UNIONTOWN,OH,44685-8025,1559_CORPORATE_WOODS_PKWY_STE_350,1559 CORPORATE WOODS PKWY STE 350  (X378X7)
X38W57,A,WESBANCO - Cinci LPO,250 E 5TH ST ,CINCINNATI,OH,45202-4119,250_E_5TH_ST,250 E 5TH ST  (X38W57)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
